,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
5445,4584,14,,Bp. 01. ker. Batthyány téri Vásárcsarnok,22,1011,Budapest,"I, 01 Batthyány tér",5,,POINT (47.506234 19.03583),"1011 Budapest, I, 01 Batthyány tér 5.",,"HU53 számú automatánk az emeleti kávézó mellett, a Pepco kirakatánál bal oldalt található.",,,,,,,,,,,,,,HU53,,,,,,,,,,,,,,,,,,,,,,08:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,15:00:00,,,,,,,,,,,,,,,,,,False,Mo 08:00-20:00; Tu-Fr 07:00-20:00; Sa 08:00-15:00; PH off,47.506234,19.03583,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,7059681582,OSM_object_type.node,9,0,2022-11-28 14:39:50.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '5', 'addr:postcode': '1011', 'addr:street': 'Batthyány tér', 'amenity': 'parcel_locker', 'branch': 'Bp. 01. ker. Batthyány téri Vásárcsarnok', 'brand': 'Foxpost', 'contact:email': 'info@foxpost.hu', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:phone': '+36 1 999 0369', 'contact:website': 'https://www.foxpost.hu', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'description': 'HU53 számú automatánk az emeleti kávézó mellett, a Pepco kirakatánál bal oldalt található.', 'name': 'Foxpost', 'opening_hours': 'Mo 08:00-20:00; Tu-Fr 07:00-20:00; Sa 08:00-15:00; PH off', 'opening_hours:covid19': 'same', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'parcel_mail_in': 'yes', 'parcel_pickup': 'yes', 'payment:cash': 'no', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'ref:HU:company': '10-10-020309', 'ref:HU:vatin': '25034644-2-10', 'ref:vatin': 'HU25034644', 'source': 'website', 'source:date': '2022-07-19'}",,0.0,False
5446,1816,14,,Bp. 01. ker. CBA Príma Déli ABC,24,1013,Budapest,Krisztina körút,37,,POINT (47.498941 19.02604),"1013 Budapest I, 01 Krisztina krt. 37.",,"HU106 számú automatánk a Krisztina körútról nyíló bejáratnál található, a jobb oldalon.",,,,,,,,,,,,,,HU106,,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 06:00-21:00; PH off,47.4989408,19.0260399,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,7059681583,OSM_object_type.node,9,0,2022-12-08 11:28:47.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '37', 'addr:postcode': '1013', 'addr:street': 'Krisztina körút', 'amenity': 'parcel_locker', 'branch': 'Bp. 1. ker. CBA Déli ABC', 'brand': 'Foxpost', 'contact:email': 'info@foxpost.hu', 'contact:facebook': 'foxpostzrt', 'contact:phone': '+36 1 999 0369', 'contact:website': 'https://www.foxpost.hu', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'description': 'Krisztina körútról nyíló bejáratnál a jobb oldalán. Az automatát hétköznaponként 7:30-8:00,17:30-18:30 között ürítjük és töltjük.', 'name': 'Foxpost', 'opening_hours': 'Mo-Sa 06:00-22:00; Su 06:00-21:00; PH off', 'opening_hours:covid19': 'same', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'parcel_mail_in': 'yes', 'parcel_pickup': 'yes', 'payment:cash': 'no', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'ref:HU:company': '10-10-020309', 'ref:HU:vatin': '25034644-2-10', 'ref:vatin': 'HU25034644', 'source:date': '2020-09-27'}",,0.0234736,False
5447,2080,14,,Bp. 01. ker. MOL Mészáros utca,27,1016,Budapest,"I, 01 Mészáros utca",19,,POINT (47.494539 19.028406),"1016 Budapest, I, 01 Mészáros utca 19.",,"HU916 számú kültéri automatánk a benzinkút Mészáros utcai bejáratától balra, a shop oldalában található.",,,,,,,,,,,,,,HU916,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24/7,47.494539,19.028406,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
5448,2841,14,,Bp. 02. ker. MOL Hűvösvölgyi út,28,1021,Budapest,"II, 02 Hűvösvölgyi út",136,,POINT (47.536991 18.968048),"1021 Budapest, II, 02 Hűvösvölgyi út 136.",,"HU605 számú kültéri automatánk a benzinkút bejáratánál, a porszívóknál található.",,,,,,,,,,,,,,HU605,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24/7,47.536991,18.968048,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
5449,3488,14,,Bp. 02. ker. Diéta Life Market,28,1021,Budapest,"II, 02 Hűvösvölgyi út",32,,POINT (47.522356 18.989039),"1021 Budapest, II, 02 Hűvösvölgyi út 32.",,HU757 számú kültéri automatánk az áruház parkolójában található.,,,,,,,,,,,,,,HU757,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24/7,47.522356,18.989039,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,9903560867,OSM_object_type.node,4,0,2022-12-01 15:22:14.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '32', 'addr:postcode': '1021', 'addr:street': 'Hűvösvölgyi út', 'amenity': 'parcel_locker', 'branch': 'Bp. 02. ker. Diéta Life Market', 'brand': 'Foxpost', 'contact:email': 'info@foxpost.hu', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:phone': '+36 1 999 03 69', 'contact:website': 'https://www.foxpost.hu', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'description': 'HU757 számú kültéri automatánk az áruház parkolójában található.', 'name': 'Foxpost', 'opening_hours': '24/7; PH off', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'parcel_mail_in': 'yes', 'payment:cash': 'no', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'ref:HU:company': '10-10-020309', 'ref:HU:vatin': '25034644-2-10', 'ref:vatin': 'HU25034644', 'source': 'website', 'source:date': '2022-07-19'}",,0.0,False
5450,2851,14,,Bp. 02. ker. Mammut 1. CBA Príma,31,1024,Budapest,"II, 02 Lövőház utca",12,,POINT (47.508788 19.02585),"1024 Budapest, II, 02 Lövőház utca 12.",,"HU164 számú automatánk a Mammut I Fény utcai piac alatt lévő, Príma üzlet új bejáratánál található.",,,,,,,,,,,,,,HU164,,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-20:00; Su 08:00-20:00; PH off,47.508788,19.02585,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
5451,2032,14,,Bp. 02. ker. Mammut 1. Spar,31,1024,Budapest,"II, 02 Lövőház utca",2-6,,POINT (47.508876 19.02584),"1024 Budapest, II, 02 Lövőház utca 2-6.",,"HU175 számú beltéri automatánk a Spar parkolóházi kijárata után jobbra, a bevásárlókocsi tároló után található.",,,,,,,,,,,,,,HU175,,,,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:30-22:00; Su 07:00-20:00; PH off,47.508876,19.02584,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
5452,1984,14,,Bp. 02. ker. Rózsadomb Center,32,1025,Budapest,Törökvész út,87-91,,POINT (47.529294 19.005321),"1025 Budapest II, 02 Törökvész út 87-91.",,HU302 számú kültéri automatánk közvetlenül a parkoló felőli bejáratnál található.,,,,,,,,,,,,,,HU302,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24/7,47.529294,19.005321,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,7947742049,OSM_object_type.node,5,0,2022-11-28 14:39:50.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '87-91', 'addr:postcode': '1025', 'addr:street': 'Törökvész út', 'amenity': 'parcel_locker', 'branch': 'Bp. 02. ker. Rózsadomb Center', 'brand': 'Foxpost', 'contact:email': 'info@foxpost.hu', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:phone': '+36 1 999 03 69', 'contact:website': 'https://www.foxpost.hu', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'description': 'HU302 számú kültéri automatánk közvetlenül a parkoló felőli bejáratnál található.', 'fixme': 'verify import', 'level': '0', 'name': 'Foxpost', 'opening_hours': '24/7; PH off', 'opening_hours:covid19': 'same', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'parcel_mail_in': 'yes', 'parcel_pickup': 'yes', 'payment:cash': 'no', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'ref:HU:company': '10-10-020309', 'ref:HU:vatin': '25034644-2-10', 'ref:vatin': 'HU25034644', 'source': 'website', 'source:date': '2022-07-19'}",,0.0,False
5453,2858,14,,Bp. 02. ker. Rózsakert Bevásárlóközpont,33,1026,Budapest,Gábor Áron utca,74,,POINT (47.522731 19.015302),"1026 Budapest II, 02 Gábor Áron utca 74.",,"HU150 számú beltéri automatánk a földszinten, a gyógyszertárral szemben található.",,,,,,,,,,,,,,HU150,,,,,,,,,,,,,,,,,,,,,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,19:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 10:00-16:00; PH off,47.522731,19.015302,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
5454,2234,14,,Bp. 02. ker. ALDI Pasaréti út,33,1026,Budapest,"II, 02 Pasaréti út",98,,POINT (47.523915 18.993646),"1026 Budapest, II, 02 Pasaréti út 98.",,HU990 számú kültéri automatánk az áruház bejáratától jobbra a bevásárló kocsitároló mögött található.,,,,,,,,,,,,,,HU990,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24/7,47.523915,18.993646,2023-01-11 16:07:22.849986+00:00,,,14,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'amenity': 'parcel_locker', 'parcel_mail_in': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin': 'HU25034644', 'ref:HU:vatin': '25034644-2-10', 'ref:HU:company': '10-10-020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'contact:email': 'info@foxpost.hu', 'contact:phone': '+36 1 999 03 69', 'payment:cash': 'no'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont|easybox|sameday),False,False,True,False,600.0,200.0,2.0,,,,,,2023-01-11 16:21:22.713848,,,,True
