,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
7085,2380,34,,45,1033,Budapest,Huszti út,36,,POINT (47.556684360786 19.03975879997),Huszti Út 36.,,,,,,,,,,,,,,,,86-58,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.556684360786,19.03975879997,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7086,2369,34,,48,1036,Budapest,Pacsirtamező utca,41-43,,POINT (47.536065 19.039926),Pacsirtamező Utca 41-43.,,,,,,,,,,,,,,,,86-231,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.536065,19.039926,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7087,2370,34,,51,1039,Budapest,Pünkösdfürdő utca,52-54,,POINT (47.594909 19.054751),Pünkösdfürdő U. 52-54.,,,,,,,,,,,,,,,,86-229,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.594909,19.054751,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7088,2410,34,,53,1042,Budapest,Rózsa utca,20,,POINT (47.55777 19.099627),Rózsa U. 20.,,,,,,,,,,,,,,,,86-265,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.55777,19.099627,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7089,2387,34,,0,1047,Bp.,Baross utca,6,,POINT (47.566135 19.080449),Baross Utca 6.,,,,,,,,,,,,,,,,86-11,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.566135,19.080449,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7090,2366,34,,59,1048,Budapest,,,,POINT (47.579071 19.115617),Bp. Külső Szilágyi,,,,,,,,,,,,,,,,86-254,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['not_in_water'],"['street_is_not_around', 'street_metaphone_is_not_around']",,2020-12-13 09:42:18.164869+00:00,,,47.579071,19.115617,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7091,2373,34,,73,1068,Budapest,Király utca,82,,POINT (47.504812 19.067803),Király Utca 82.,,,,,,,,,,,,,,,,86-233,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.504812,19.067803,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7092,2367,34,,79,1076,Budapest,Garay tér,20,,POINT (47.504186 19.085417),Garay Tér 20. ,,,,,,,,,,,,,,,,86-224,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.504186,19.085417,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7093,2374,34,,86,1085,Budapest,József körút,45,,POINT (47.490619 19.070538),József Krt. 45.,,,,,,,,,,,,,,,,86-235,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.490619,19.070538,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
7094,2378,34,,88,1087,Budapest,Hős utca,9,,POINT (47.495802 19.107698),Hős U. 9.,,,,,,,,,,,,,,,,86-74,+36 29 339 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:42:18.164869+00:00,,,47.495802,19.107698,34,Penny Market,shop,"{'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'brand:wikidata': 'Q284688', 'internet_access:ssid': 'PENNY FREE WLAN', 'contact:email': 'ugyfelszolgalat@penny.hu', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'ref:vatin': 'HU10969629', 'ref:vatin:hu': '10969629-2-44', 'payment:contactless': 'yes', 'operator': 'Penny Market Kft.', 'brand': 'Penny Market', 'shop': 'supermarket', 'brand:wikipedia': 'en:Penny (supermarket)', 'payment:mastercard_contactless': 'yes', 'internet_access:fee': 'no', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'internet_access': 'wlan', 'payment:maestro': 'yes', 'payment:cash': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,2000.0,200.0,15.0,,,,,2021-05-13 12:05:23.330302,
