,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
6428,7780,40,,Tom Market Budaörs,619.0,2040,Budaörs,Szabadság út,44,,POINT (47.46109 18.95871),Szabadság út 44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.4610261,18.9585675,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,2087589806,OSM_object_type.node,7,0,2021-12-24 17:15:20.000000,"{'addr:city': 'Budaörs', 'addr:housenumber': '44', 'addr:postcode': '2040', 'addr:street': 'Szabadság út', 'contact:facebook': 'https://www.facebook.com/budaorsitommarket/', 'name': 'Tom Market', 'opening_hours': 'Mo-Su,PH 05:30-22:00, Dec 24 05:30-16:00, Jan 1 07:00-22:00', 'shop': 'convenience', 'wheelchair': 'no'}",,0,False
6429,7816,40,,Tom Market Ráckeve,750.0,2300,Ráckeve,Kossut L. utca,18,,POINT (47.16077 18.94578),Kossut L. u. 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.16077,18.94578,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6430,7770,40,,Tom Market Dunaújváros,798.0,2400,Dunaújváros,Váci Mihály utca,11-12,,POINT (46.97179 18.93394),Váci Mihály u. 11-12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,46.97179,18.93394,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6431,7735,40,,Tom Market Daruszentmiklós,807.0,2423,Daruszentmiklós,Fehérvári utca,59,,POINT (46.87346 18.8557),Fehérvári u. 59./B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,46.87346,18.8557,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6432,7755,40,,Tom Market Rácalmás,830.0,2459,Rácalmás,Radnóti tér,10,,POINT (47.02653 18.92258),Radnóti tér 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.02653,18.92258,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6433,7818,40,,Tom Market Esztergom,848.0,2500,Esztergom,Rudnay Sándor tér,24,,POINT (47.78578 18.73998),Rudnay S. tér 24.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.7856063,18.73980171255534,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,500231842,OSM_object_type.way,10,0,2022-02-12 10:13:32.000000,"{'addr:city': 'Esztergom', 'addr:housenumber': '24', 'addr:postcode': '2500', 'addr:street': 'Rudnay Sándor tér', 'brand': 'Tom Market', 'building': 'retail', 'level': '0', 'name': 'Tom Market', 'shop': 'convenience'}","[4913343008, 4913343007, 4913343002, 4913343006, 4913342947, 4913342948, 5408355918, 4913342951, 4913342950, 4913343005, 4913343008]",0,False
6434,7765,40,,Tom Market Tatabánya Gál István ltp.,997.0,2800,Tatabánya,Gál István lakótelep,218,,POINT (47.56029 18.41739),Gál István lakótelep 218. AS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.56029,18.41739,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6435,7761,40,,Tom Market Tatabánya Komáromi út,997.0,2800,Tatabánya,Komáromi út,59,,POINT (47.59393 18.39227),Komáromi út 59.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.59393,18.39227,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6436,7747,40,,Tom Market Környe,1019.0,2851,Környe,Alkotmány utca,45,,POINT (47.54829 18.33369),Alkotmány utca 45.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.54829,18.33369,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6437,7762,40,,Tom Market Bábolna,1061.0,2943,Bábolna,Mészáros utca,7/B,,POINT (47.64259 17.97661),Mészáros út 7/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.64259,17.97661,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,,,,,2023-01-21 18:48:42.037930,,,,True
6438,7672,40,,Tom Market Gyula,2315.0,5700,Gyula,Béke sugárút,9-11,,POINT (46.64581 21.27186),Béke sgt. 9-11.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,46.6465699,21.2716992,2023-01-21 18:39:03.423549+00:00,,,40,Tom Market,shop,"{'shop': 'convenience', 'name': 'Tom Market', 'contact:facebook': 'https://www.facebook.com/TOM.Market.Magyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://tommarket.hu,hutommacon,tom market|tommarket,,False,False,True,False,2000.0,200.0,,,4940564524,OSM_object_type.node,3,0,2017-09-18 09:04:24.000000,"{'fixme': 'verify', 'name': 'Béke Csemege Tom Market', 'shop': 'convenience', 'source': 'route4u', 'wheelchair': 'limited'}",,85.38405397,False
