,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe
0,1,Tesco Expressz,shop,"{'payment:mastercard_electronic': 'yes', 'shop': 'convenience', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'brand:wikipedia': 'hu:Tesco', 'internet_access': 'wlan', 'ref:vatin': 'HU10307078', 'payment:otp_bankpont': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'ref:vatin:hu': '10307078-2-44', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'loyalty_card': 'yes', 'brand:wikidata': 'Q487494', 'internet_access:ssid': 'tesco-internet', 'payment:visa_electron': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'payment:multipay': 'yes', 'ref:HU:company': '13-10-040628', 'payment:erzsebet_plus': 'yes', 'payment:visa': 'yes', 'payment:american_express': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'payment:v_pay': 'yes', 'brand': 'Tesco', 'payment:gift_card': 'yes', 'payment:jcb': 'yes', 'payment:unionpay': 'yes', 'payment:edenred_card': 'yes', 'payment:erzsebet': 'yes', 'internet_access:fee': 'no', 'payment:wire_transfer': 'yes'}",https://tesco.hu,hutescoexp,tesco,,False,False,2000.0,200.0,
1,2,Tesco Extra,shop,"{'payment:mastercard_electronic': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'source:wheelchair': 'website', 'brand:wikipedia': 'hu:Tesco', 'internet_access': 'wlan', 'wheelchair': 'yes', 'ref:vatin': 'HU10307078', 'payment:otp_bankpont': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'shop': 'supermarket', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikidata': 'Q487494', 'internet_access:ssid': 'tesco-internet', 'payment:visa_electron': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'payment:multipay': 'yes', 'ref:HU:company': '13-10-040628', 'payment:erzsebet_plus': 'yes', 'payment:visa': 'yes', 'payment:american_express': 'yes', 'ref:vatin:hu': '10307078-2-44', 'payment:v_pay': 'yes', 'brand': 'Tesco', 'payment:gift_card': 'yes', 'payment:jcb': 'yes', 'payment:unionpay': 'yes', 'payment:edenred_card': 'yes', 'payment:erzsebet': 'yes', 'internet_access:fee': 'no', 'payment:wire_transfer': 'yes'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,
2,3,Tesco,shop,"{'payment:mastercard_electronic': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'source:wheelchair': 'website', 'brand:wikipedia': 'hu:Tesco', 'internet_access': 'wlan', 'wheelchair': 'yes', 'ref:vatin': 'HU10307078', 'payment:otp_bankpont': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'shop': 'supermarket', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikidata': 'Q487494', 'internet_access:ssid': 'tesco-internet', 'payment:visa_electron': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'payment:multipay': 'yes', 'ref:HU:company': '13-10-040628', 'payment:erzsebet_plus': 'yes', 'payment:visa': 'yes', 'payment:american_express': 'yes', 'ref:vatin:hu': '10307078-2-44', 'payment:v_pay': 'yes', 'brand': 'Tesco', 'payment:gift_card': 'yes', 'payment:jcb': 'yes', 'payment:unionpay': 'yes', 'payment:edenred_card': 'yes', 'payment:erzsebet': 'yes', 'internet_access:fee': 'no', 'payment:wire_transfer': 'yes'}",https://tesco.hu,hutescosup,tesco,,False,False,2000.0,1100.0,
3,4,S-Market,shop,"{'payment:mastercard_electronic': 'yes', 'shop': 'convenience', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'brand:wikipedia': 'hu:Tesco', 'internet_access': 'wlan', 'alt_name': 'Tesco Expressz', 'payment:otp_bankpont': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'ref:vatin:hu': '10307078-2-44', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikidata': 'Q487494', 'internet_access:ssid': 'tesco-internet', 'payment:visa_electron': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'payment:multipay': 'yes', 'ref:HU:company': '13-10-040628', 'payment:erzsebet_plus': 'yes', 'payment:visa': 'yes', 'payment:american_express': 'yes', 'ref:vatin': 'HU10307078', 'payment:v_pay': 'yes', 'brand': 'Tesco', 'payment:gift_card': 'yes', 'payment:jcb': 'yes', 'payment:unionpay': 'yes', 'payment:edenred_card': 'yes', 'payment:erzsebet': 'yes', 'internet_access:fee': 'no', 'payment:wire_transfer': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,
4,5,S-Market,shop,"{'payment:mastercard_electronic': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'source:wheelchair': 'website', 'brand:wikipedia': 'hu:Tesco', 'internet_access': 'wlan', 'wheelchair': 'yes', 'alt_name': 'Tesco', 'payment:otp_bankpont': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'internet_access:fee': 'no', 'shop': 'supermarket', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikidata': 'Q487494', 'internet_access:ssid': 'tesco-internet', 'payment:visa_electron': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'payment:multipay': 'yes', 'ref:HU:company': '13-10-040628', 'payment:erzsebet_plus': 'yes', 'payment:visa': 'yes', 'payment:american_express': 'yes', 'ref:vatin:hu': '10307078-2-44', 'payment:v_pay': 'yes', 'brand': 'Tesco', 'payment:gift_card': 'yes', 'payment:jcb': 'yes', 'payment:unionpay': 'yes', 'payment:edenred_card': 'yes', 'payment:erzsebet': 'yes', 'ref:vatin': 'HU10307078', 'payment:wire_transfer': 'yes'}",https://tesco.hu,husmrktsup,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,
5,6,CIB Bank,bank,"{'operator': 'CIB Bank Zrt.', 'bic': 'CIBHHUHB', 'operator:addr': '1027 Budapest, Medve u 4-14.', 'air_conditioning': 'yes', 'ref:vatin': 'HU10136915', 'atm': 'yes', 'ref:HU:company': '01 10 041004', 'brand:wikipedia': 'hu:CIB Bank', 'ref:vatin:hu': '10136915-4-44', 'amenity': 'bank', 'brand': 'CIB Bank', 'brand:wikidata': 'Q839566'}",https://www.cib.hu,hucibbank,(cib bank|cib),(raiffeisen|otp|k&h|budapest),False,False,300.0,100.0,40.0
6,7,CIB Bank ATM,atm,"{'amenity': 'atm', 'operator': 'CIB Bank Zrt.', 'ref:vatin:hu': '10136915-4-44', 'brand': 'CIB Bank', 'bic': 'CIBHHUHB', 'operator:addr': '1027 Budapest, Medve u 4-14.', 'brand:wikipedia': 'hu:CIB Bank', 'brand:wikidata': 'Q839566', 'ref:vatin': 'HU10136915', 'ref:HU:company': '01 10 041004'}",https://www.cib.hu,hucibatm,(cib bank atm|cib atm),(raiffeisen|otp|k&h|budapest),False,False,50.0,30.0,10.0
7,8,Aldi,shop,"{'contact:instagram': 'https://www.instagram.com/aldi.magyarorszag', 'contact:facebook': 'https://www.facebook.com/ALDI.Magyarorszag', 'brand:wikipedia': 'hu:Aldi', 'contact:youtube': 'https://www.youtube.com/user/ALDIMagyarorszag', 'shop': 'supermarket', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand:wikidata': 'Q125054', 'payment:visa_electron': 'yes', 'operator': 'ALDI Magyarország Élelmiszer Bt.', 'payment:contactless': 'yes', 'payment:cash': 'yes', 'operator:addr': '2051 Biatorbágy, Mészárosok útja 2.', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'ref:company:HU': '13-06-058506', 'ref:vatin': 'HU22234663', 'ref:HU:company': '13 06 058506', 'payment:visa': 'yes', 'ref:vatin:hu': '22234663-2-44', 'brand': 'Aldi', 'payment:mastercard_electronic': 'yes'}",https://www.aldi.hu,hualdisup,aldi,,False,False,,,
8,9,Benu gyógyszertár,pharmacy,"{'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'payment:contactless': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'payment:visa_electron': 'yes', 'amenity': 'pharmacy', 'dispensing': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0
9,10,dm,chemist,"{'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'operator': 'dm Kft.', 'payment:contactless': 'yes', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'air_conditioning': 'yes', 'brand:wikidata': 'Q266572', 'ref:vatin': 'HU11181530', 'ref:HU:company': '13 09 078006', 'brand:wikipedia': 'en:Dm-drogerie markt', 'shop': 'chemist', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'dm', 'payment:mastercard_electronic': 'yes', 'ref:vatin:hu': '11181530-2-44', 'payment:visa': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,2000.0,200.0,15.0
