,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
7693,7216,22,,,23,1012,Budapest,Kosciuszkó Tádé utca,5,,POINT (47.49665 19.02851),"1012 Budapest, Kosciuszkó Tádé utca 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.496588,19.0292569615942,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,216230142,OSM_object_type.way,8,0,2020-05-12 21:34:37.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '5', 'addr:postcode': '1012', 'addr:street': 'Kosciuszkó Tádé utca', 'amenity': 'fire_station', 'building': 'yes', 'name': 'Budavári Katasztrófavédelmi Őrs', 'phone': '+36 1 459 2302'}","[2255805450, 2255805453, 2255805454, 2255805434, 2255805433, 4177303878, 4177303882, 2255805459, 2255805461, 2255805450]",22.39828439,False
7694,7218,22,,,45,1039,Budapest,Ipartelep utca,1,,POINT (47.5941 19.05648),1039 Budapest Ipartelep utca 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5941,19.05648,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7695,7221,22,,,55,1052,Budapest,Gerlóczy utca,6,,POINT (47.49513 19.05625),"1052 Budapest, Gerlóczy utca 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.49513,19.05625,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7696,7213,22,,,177,1223,Budapest,Jókai Mór utca,35,,POINT (47.41326 19.01794),"1223 Budapest, Jókai Mór utca 35.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.41416385,19.017303696746737,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,1064531556,OSM_object_type.way,1,0,2022-05-28 11:53:22.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '35', 'addr:postcode': '1223', 'addr:street': 'Jókai Mór utca', 'amenity': 'fire_station', 'contact:phone': '+36 1 459 2322', 'name': 'Budafoki Katasztrófavédelmi Őrs'}","[8272571136, 8272571137, 8272571129, 3211154286, 3211154283, 3211154277, 3211154282, 3211154281, 8272571134, 8272571136]",77.59928892,False
7697,6248,22,,,624,2045,Törökbálint,Raktárvárosi út,1,,POINT (47.4359 18.9262),"2045 Törökbálint, Raktárvárosi út 1.",,,,,,,,,,,,,,,,,,,titkarsag.torokbalint@tuzoltosagerd.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4359,18.9262,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7698,6245,22,,,707,2170,Aszód,Malom köz,15,,POINT (47.65108 19.47489),"2170 Aszód, Malom köz 15.",,,,,,,,,,,,,,,,,,,sandor.tamas@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.65108,19.47489,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7699,4981,22,,,847,2490,Pusztaszabolcs,Velencei út,65,,POINT (47.14607 18.75126),"2490 Pusztaszabolcs, Velencei út 65.",,,,,,,,,,,,,,,,,,,dunaujvaros@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14607,18.75126,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7700,5999,22,,,863,2525,Bajna,Bem utca,1,,POINT (47.65454 18.5993),"2525 Bajna, Bem utca 1.",,,,,,,,,,,,,,,,,,,bajna.ot@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.65454,18.5993,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7701,5982,22,,,873,2536,Nyergesújfalu,Szent-Györgyi Albert út,1,,POINT (47.76078 18.56385),"2536 Nyergesújfalu, Szentgyörgyi Albert út 1",,,,,,,,,,,,,,,,,,,nyergesujfalu.htugyelet@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.76078,18.56385,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7702,6127,22,,,922,2651,Rétság,Laktanya út,9,,POINT (47.92995 19.13726),"2651 Rétság, Laktanya utca 9.",,,,,,,,,,,,,,,,,,,ors.retsag@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.92995,19.13726,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
7703,6130,22,,,953,2687,Bercel,Kossuth Lajos tér,10,,POINT (47.8736 19.40135),"2687 Bercel, Kossuth Lajos tér 10.",,,,,,,,,,,,,,,,,,,ors.bercel@katved.gov.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8736,19.40135,2023-01-03 08:36:20.733866+00:00,,,22,Katasztrófavédelmi Őrs,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'local_station'}",https://www.katasztrofavedelem.hu,hufirelsta,(katasztrófavédelmi|örs),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,,,,True
